skuErp;skuSite;descricao
11268;11268-001-U;Puxador Ponto Drito IL2249 Escovado - Italyline - Ponto
11273;11273-001-U;Puxador Ken 32MM Gold Escovado - Zen Design - 32MM
11281;11281-001-U;Puxador Alça Zigrinato IL1580 128mm Dourado - Italyline - 128MM
11292;11292-001-U;Puxador Alça Zigrinato IL1580 288mm Dourado - Italyline - 288MM
11308;11308-001-U;Puxador Ponto Flex Ponto Níquel Escovado - Zen Design - Ponto
11315;11315-001-U;Puxador Alça Zigrinato IL1580 160mm Dourado Fosco - Italyline - 160MM
11317;11317-001-U;Puxador Ponto Antique Cromado - Zen Design - Ponto
11325;11325-001-U;Puxador Ponto Versalhes Dourado Matte - Zen Design - Único
11332;11332-001-U;Puxador Alça Estrela 192mm Red Gold Opaco - Jador - 192MM
11339;11339-001-U;Puxador Ponto Zigrinato il1581 18x33 Dourado - Italyline - Ponto
11340;11340-001-U;Puxador Alça Oriente 224mm Couro Marrom Cromado - Zen Design - 224MM
11353;11353-001-U;Puxador Ponto Sedona Preto Fosco - Torralba - Ponto
11354;11354-001-U;Puxador Ponto Jalapa Redondo P Cromo - Torralba - P
11355;11355-001-U;Puxador Ponto Jalapa Redondo P Níquel Escovado - Torralba - P
11357;11357-001-U;Puxado Ponto Grenade 1764 Cobre - Torralba - Único
11359;11359-001-U;Puxador Alça Grenade 128mm Níquel Escovado - Torralba - 128MM
11361;11361-001-U;Puxador Ponto Jalapa Quadrado P Dourado - Torralba - P
11362;11362-001-U;Puxador Ponto Aspen Preto Fosco - Torralba - Ponto
11363;11363-001-U;Puxador Ponto Aspen Dourado - Torralba - Ponto
11364;11364-001-U;Puxador  Ponto Yuma P Dourado - Torralba - P
11367;11367-001-U;Puxador Ponto Yuma 193 P Preto - Torralba - P
11368;11368-001-U;Puxador Ponto Yuma 197 G Dourado - Torralba - G
11369;11369-001-U;Puxador Ponto Jalapa Quadrado P Níquel Escovado - Torralba - P
11370;11370-001-U;Puxador Ponto Yuma 194 M Preto Fosco - Torralba - M
